review_id,sentiment_label,sentiment_score,sentiment_reason
t-8mpC0ryIc-cdnwoF8Hsw,positive,0.92,"Extremely positive review praising food, service, and atmosphere."
rjnyXstBa7SUtlfrf-moyA,negative,-0.78,Multiple complaints about food quality and poor service.
h46h5_2USejVTkfM3byl7g,positive,0.73,"Positive about food quality and service, minor wish."
jQHWfUlgObQRh40PUDYU_w,positive,0.81,"Food praised, store outdated but food excellent."
_YFKHUDdzhgMhKS0m7oDSw,negative,-0.88,"Food poisoning, negative experience."
vhSip9Ph1CXcblSYno-WSQ,negative,-0.85,"Cold steak, poor service, negative."
8VMYtsXwvJBbZyblhG2vaQ,negative,-0.92,"Disrespectful environment, poor hygiene, bad service."
VeirSaiYPBiUiPqSARXLjg,positive,0.79,"Positive experience, excellent server."
3goSOvzcDl2mSt-VBtr8qQ,negative,-0.9,"Multiple service and food issues, negative."
No1v2TNXh6Xqh2jB3LtPHw,positive,0.75,"Positive review, fresh food, hidden gem."
TAeKE5Pk6QQUzYr6X2a-Qw,positive,0.8,"Positive review praising food quality, service, and value."
rbXZqzQQ-XSh4eymh6uJHg,positive,0.8,"Positive review praising food quality, service, and value."
3vemS2gvS8-K725uiy07Tw,positive,0.7,"Positive review with minor suggestion, overall satisfaction."
wRHzNtxVkFNN3lGd_-fFSw,negative,-0.8,Negative review criticizing pizza quality and service.
zbXLSA9Q2tbqj7XjezSgPw,negative,-0.7,Negative review about food quality.
VQPcBnLz9rcZu21ojUG6Xg,positive,0.8,Positive review praising meat quality and price.
ZlgV6ii3s3zfVA3zypQhZg,negative,-0.8,Negative review about poor service.
BmiJQtpvEZt1opVn2d5o2g,negative,-0.9,Negative review about inappropriate music and poor response.
grdyNnpXXLVdg7qEdeO77g,positive,0.6,"Positive review praising service and food, slight hesitation."
euDs0rBA_m3WzQcbYu8pBA,positive,0.7,"Positive review with minor seasoning issues, overall good experience."
xSViGchkd4HxsI5FH3FX7A,negative,-0.4,Cold food and poor service outweigh positives.
iZsb5oo4QmHGJlH43O6fxg,positive,0.8,"Excellent food, few minor complaints."
Nc7ZnzIJs2982pTPXLR8fw,positive,0.9,"Very enthusiastic praise, no complaints."
ypEZOALGvQBqtwKQNOBSlw,positive,0.85,"Enthusiastic praise, no negative remarks."
QJ-7jyZKj4Zw_GR-R0IvrQ,positive,0.6,Positive review with minor portion concerns.
s1EjO-QhSgKnlnjDdOI25g,positive,0.7,"Positive tone, satisfied with takeout."
3Pql6t6sF0I-aGNGLa8LgQ,positive,0.7,"Positive experience, minor service timing issue."
lzbBTVhH_yjhhoMjmA9d4A,negative,-0.8,Severe service and hygiene complaints.
wldWclu3Dm_aScDXaKkN0A,positive,0.9,"Highly positive, no complaints."
ljWJ13-tfH0J8VxasxSfGg,positive,0.6,"Enjoyable outdoor experience, no issues."
I6bhszbD-aPbSdd88VPf_A,neutral,0.0,Mixed positive vibe and practical info.
UHRouHBxjdL9_vRE452aOQ,positive,0.9,All aspects exceeded expectations.
jo0Dv6XtK6h81jIxrxWV8w,positive,0.85,"Excellent service, food, and atmosphere."
